"Category","Core Biology","Pathway name (standardized)","Key molecular nodes","Plant","target_included","extract_type","cell_lines","parameter","effect_on_target","source_id","abstract"
"","","","","Lactobacillus acidophilus","LDLR","","mice","","increased LDLR mRNA expression in liver (specific magnitude not provided)","26300852; 27435541; 28922099; 28013406","The study was aimed to characterize the probiotic properties of a Pediococcus pentosaceus strain, KID7, by in vitro and in vivo studies. The strain possessed tolerance to oro-gastrointestinal transit, adherence to the Caco-2 cell line, and antimicrobial activity. KID7 exhibited bile salt hydrolase activity and cholesterol-lowering activity, in vitro. In vivo cholesterol-lowering activity of KID7 was studied using atherogenic diet-fed hypercholesterolemic mice. The experimental animals (C57BL/6J mice) were divided into 4 groups viz., normal diet-fed group (NCD), atherogenic diet-fed group (HCD), atherogenic diet- and KID7-fed group (HCD-KID7), and atherogenic diet- and Lactobacillus acidophilus ATCC 43121-fed group (HCD-L.ac) as positive control. Serum total cholesterol (T-CHO) level was significantly decreased by 19.8% in the HCD-KID7 group (P  0.05), but not in the HCD-L.ac group compared with the HCD group. LDL cholesterol levels in both HCD-KID7 and HCD-L.ac groups were decreased by 35.5 and 38.7%, respectively, compared with HCD group (both, P  0.05). Glutamyl pyruvic transaminase (GPT) level was significantly lower in the HCD-KID7 and HCD-L.ac groups compared to HCD group and was equivalent to that of the NCD group. Liver T-CHO levels in the HCD-KID7 group were reduced significantly compared with the HCD group (P  0.05) but not in the HCD-L.ac group. Analysis of expression of genes associated with lipid metabolism in liver showed that low-density lipoprotein receptor (LDLR), cholesterol-7α-hydroxylase (CYP7A1) and apolipoprotein E (APOE) mRNA expression was significantly increase in the HCD-KID7 group compared to the HCD group. Furthermore, KID7 exhibited desired viability under freeze-drying and subsequent storage conditions with a combination of skim milk and galactomannan. P. pentosaceus KID7 could be a potential probiotic strain, which can be used to develop cholesterol-lowering functional food after appropriate human clinical trials."
"Metabolic Health / Diabetes / Obesity","Incretin signaling","GLP-1 signaling pathway","GLP1R ↑","GABA","GLP1R","","Mc3r [-/-] mice","","GLP1R expression in GABAergic LepRb neurons is required for liraglutide-induced food intake suppression","38106197; 37581939; 39007271","The melanocortin-3 receptor (MC3R) acts presynaptically to regulate GABA release from agouti-related protein (AgRP) nerve terminals and thus may be a negative regulator of multiple circuits involved in feeding behavior and energy homeostasis. Here, we examined the role of MC3R in regulating the response to various anorexigenic agents. Our findings reveal that genetic deletion or pharmacological inhibition of MC3R improves the dose responsiveness to Glucagon-like peptide 1 (GLP1) agonists, as assayed by inhibition of food intake and weight loss. An enhanced anorectic response to other agents, including the acute satiety factors peptide YY (PYY3-36) and cholecystokinin (CCK) and the long-term adipostatic factor, leptin, demonstrated that increased sensitivity to anorectic agents is a generalized result of MC3R antagonism. Enhanced neuronal activation in multiple nuclei, including ARH, VMH, and DMH, was observed using Fos immunohistochemistry following low-dose liraglutide in MC3R knockout mice (Mc3r[-/-]), supporting the hypothesis that the MC3R is a negative regulator of circuits regulating multiple aspects of feeding behavior. The enhanced anorectic response in Mc3r [-/-] mice after administration of GLP1 analogs was also independent of the incretin effects and malaise induced by GLP1R analogs, suggesting that MC3R antagonists may have value in enhancing the dose-response range of obesity therapeutics."
"","","","","Purslane","NF-κB; GLP1R","","human","","protein and mRNA levels of NF-κB significantly decreased and GLP1R levels increased drastically","27917862","The aim of this study was to investigate the responses of atherosclerosis plaque biomarkers to purslane seed consumption and aerobic training in women with T2D. 196 women with T2D were assigned into; (1) placebo (PL), (2) aerobic training+placebo (AT + PL), 3) purslane seeds (PS), aerobic training+purslane seeds (AT + PS). The training program and purslane seeds consumption (2.5 g lunch and 5 g dinner) were carried out for 16 weeks. The components of purslane seed were identified and quantified by GC-MS. Blood samples were withdrawn via venipuncture to examine blood glucose, low-density lipoprotein (LDL), high-density lipoprotein (HDL), cholesterol, triglycerides (TG), creatinine, urea, uric acid, NF-κB, GLP1, GLP1R, TIMP-1, MMP2, MMP9, CRP, CST3, and CTSS expressions. Blood glucose, LDL, cholesterol, TG, creatinine, urea, and uric acid levels in the (P), (AT), and (AT + PS) groups were significantly decreased compared to the pre-experimental levels or the placebo group, while HDL, significantly increased. Furthermore, the protein and mRNA levels of NF-κB, TIMP-1, MMP2 9, CRP, CST3, and CTSS in the (P), (AT), (AT + PS) significantly decreased compared to pre-experimental or the placebo group, while level of GLP1 and GLP1-R increased drastically. Findings suggest that purslane seed consumption alongside exercising could improve atherosclerosis plaque biomarkers through synergistically mechanisms in T2D."
"","Lipolytic pathway","Triglyceride lipolysis pathway","ATGL ↑ · HSL ↑","Bacillus subtilis","HSL","","","","hydrolyzes the lactone ring of HSL (3-oxo-C8-HSL)","32757095","Quorum quenching (QQ) blocks bacterial cell-to-cell communication (i.e., quorum sensing), and is a promising antipathogenic strategy to control bacterial infection via inhibition of virulence factor expression and biofilm formation. QQ enzyme AiiO-AIO6 from Ochrobactrum sp. M231 has several excellent properties and shows biotherapeutic potential against important bacterial pathogens of aquatic species. AiiO-AIO6 can be secretory expressed in Bacillus subtilis via a non-classical secretion pathway. To improve AiiO-AIO6 production, four intracellular protease-deletion mutants of B. subtilis 1A751 were constructed by individually knocking out the intracellular protease-encoding genes (tepA, ymfH, yrrN and ywpE). The AiiO-AIO6 expression plasmid pWB-AIO6BS was transformed into the B. subtilis 1A751 and its four intracellular protease-deletion derivatives. Results showed that all recombinant intracellular protease-deletion derivatives (BSΔtepA, BSΔymfH, BSΔyrrN and BSΔywpE) had a positive impact on AiiO-AIO6 production. The highest amount of AiiO-AIO6 extracellular production of BSΔywpE in shake flask reached 1416.47 U/mL/OD600, which was about 121% higher than that of the wild-type strain. Furthermore, LC-MS/MS analysis of the degrading products of 3-oxo-C8-HSL by purification of AiiO-AIO6 indicated that AiiO-AIO6 was an AHL-lactonase which hydrolyzes the lactone ring of AHLs. Phylogenetic analysis showed that AiiO-AIO6 was classified as a member of the α/β hydrolase family with a conserved ""nucleophile-acid-histidine"" catalytic triad. In summary, this study showed that intracellular proteases were responsible for the reduced yields of heterologous proteins and provided an efficient strategy to enhance the extracellular production of AHL lactonase AiiO-AIO6."
"","","","","Camellia sinensis","HSL; TLR4","","mice","400 mg/kg/day","increased HSL levels and reduced TLR4 levels","23431242","The aim of this study was to evaluate the effects of green tea Camellia sinensis extract on proinflammatory molecules and lipolytic protein levels in adipose tissue of diet-induced obese mice. Animals were randomized into four groups: CW (chow diet and water); CG (chow diet and water + green tea extract); HW (high-fat diet and water); HG (high-fat diet and water + green tea extract). The mice were fed ad libitum with chow or high-fat diet and concomitantly supplemented (oral gavage) with 400 mg/kg body weight/day of green tea extract (CG and HG, resp.). The treatments were performed for eight weeks. UPLC showed that in 10 mg/mL green tea extract, there were 15 μg/mg epigallocatechin, 95 μg/mg epigallocatechin gallate, 20.8 μg/mg epicatechin gallate, and 4.9 μg/mg gallocatechin gallate. Green tea administered concomitantly with a high-fat diet increased HSL, ABHD5, and perilipin in mesenteric adipose tissue, and this was associated with reduced body weight and adipose tissue gain. Further, we observed that green tea supplementation reduced inflammatory cytokine TNFα levels, as well as TLR4, MYD88, and TRAF6 proinflammatory signalling. Our results show that green tea increases the lipolytic pathway and reduces adipose tissue, and this may explain the attenuation of low-grade inflammation in obese mice."
"","","","","Catechin","HSL","EtOH","3T3-L1","","did not affect HSL mRNA levels","10757625; 25849890; 30126307; 31532890","To find out whether lipid stores are influenced by phenolic compounds in wine. Differentiated 3T3-L1 cells were treated with catechin, epicatechin or procyanidin extracts with different degrees of polymerization at 150 microM for different periods of time (0.5-24 h). Cell line 3T3-L1. Cellular viability, glycerol-3-phosphate dehydrogenase activity, glycerol release in the medium, HSL mRNA levels, triacylglycerols and protein. Catechin, epicatechin and procyanidin extracts were not toxic for the 3T3-L1 cells in the conditions assayed. Glycerol-3-phosphate dehydrogenase activity was markedly decreased by 150 microM procyanidin extracts. The release of glycerol into the medium was increased in 150 microM procyanidin extract-treated cells and reached a plateau after 15 h exposure. Procyanidins caused a time-dependent reduction in the HSL mRNA levels. These results suggest that procyanidins from grape and wine affect lipid metabolism whilst their monomers (catechin and epicatechin) do not. This effect is more pronounced when the degree of polymerization is higher. Procyanidin extracts cause a time-dependent reduction in the HSL mRNA levels, inhibit triacylglycerol synthesis and also favour triacylglycerol hydrolysis until the HSL mRNA had reached very low levels."
"","","","","Chicory","AMPK; SOD; LDL-C; ACC; ATGL","Chicory extract","rat","50 μg/mL","activated AMPK, increased hepatic expression of ATGL and p-ACC, increased serum and hepatic SOD levels, decreased serum and hepatic LDL-C levels, and reduced hepatic expression of ACC","29964102; 39906505","Obesity, the fifth leading cause of death globally and linked to chronic low-grade inflammation and development of numerous severe pathologies, is a major public health problem. Fermented foods, probiotics, and postbiotics emerge as promising avenues for combating obesity and inflammation. The aim of our study was to develop and characterize phyto-postbiotics corresponding to prebiotic compounds fermented by gut bacteria, which could act on obesity and related-inflammation. Chicory extract fermented by Akkermansia muciniphila (C-Akm) was selected as the most antioxidant of 20 fermented extracts. The identification of metabolites derived from C-Akm extract has enabled us to detect mostly amino acids, acids, and some polyphenols (daidzein and genistein). The anti-inflammatory and anti-obesity activities of C-Akm extract were studied by testing the extract (50 μg/mL) on the polarization of THP-1 into macrophages, the secretion of pro-inflammatory cytokines in LPS-stimulated PBMCs, and the secretion of leptin and adiponectin in adipospheroids derived from human adipose stem cells. Finally, the extract was examined in 3D co-culture model mimicking inflamed obese adipose tissue. We found that C-Akm extract decreased ROS generation, TNF-α and Il-6 gene expression in polarized macrophages, INFγ and IL-17A secretion in LPS-stimulated PBMCs stimulated with LPS. It also decreased leptin expression while increasing adiponectin and HSL expression levels in both adipocytes and co-cultures. In addition, C-Akm extract stimulated adiponectin secretion in the co-culture model. Finally, our in vitro investigations demonstrated the potential benefits of C-Akm extract in the prevention and treatment of obesity-related inflammation."
"","","","","Coix lacryma-jobi","ATGL","","Huh7, C57BL/6J mice","200 mg/kg/day","upregulated ATGL expression","38808469","Lipolysis is the hydrolysis of triglycerides (TGs), commonly known as fats. Intracellular lipolysis of TG is associated with adipose triglyceride lipase (ATGL), which provides fatty acids during times of metabolic need. The aim of this study was to determine whether Coix lacryma-jobi L. var. ma-yuen Stapf (Coix) sprouts (CS) can alleviate obesity through lipolysis. Overall, we investigated the potential of CS under in vitro and in vivo conditions and confirmed the underlying mechanisms. Huh7 cells were exposed to free fatty acids (FFAs), and C57BL/6J mice were fed a 60% high-fat diet. When FFA were introduced into Huh7 cells, the intracellular TG levels increased within the Huh7 cells. However, CS treatment significantly reduced intracellular TG levels. Furthermore, CS decreased the expression of Pparγ and Srebp1c mRNA and downregulated the mutant Pnpla3 (I148M) mRNA. Notably, CS significantly upregulated ATGL expression. CS treatment at a dose of 200 mg/kg/day resulted in a significant and dose-dependent decrease in body weight gain and epididymal adipose tissue weight. Specifically, the group treated with CS (200 mg/kg/day) exhibited a significant modulation of serum lipid biomarkers. In addition, CS ameliorated histological alterations in both the liver and adipose tissues. In summary, CS efficiently inhibited lipid accumulation through the activation of the lipolytic enzyme ATGL coupled with the suppression of enzymes involved in TG synthesis. Consequently, CS show promise as a potential anti-obesity agent."
"","","","","Conjugated linoleic acid","HSL","","3T3-L1","3.76 g/day","stimulated lipolysis via HSL-independent mechanisms","17084379; 18507880; 17298695; 21643838; 20138494; 22072344; 23896999; 27643621; 38952113; 36751705","Conjugated linoleic acid (CLA) is a group of positional and geometric isomers of conjugated dienoic derivatives of linoleic acid. The present study was designed to determine whether 14-week CLA supplementation as triacylglycerols (3.76 g) with a 50 : 50 combination of the two main isomers (35 % cis-9, trans-11 and 35 % trans-10, cis-12) added to flavoured yoghurt-like products was able to alter body composition in healthy subjects and to alter the expression of several key adipose tissue genes (PPAR gamma, lipoprotein lipase (LPL), hormone-sensitive lipase (HSL) and uncoupling protein 2 (UCP-2)). Forty-four healthy subjects were randomly assigned to consume daily either a CLA-supplemented yoghurt-like product or a placebo yoghurt for 98 d. There were no significant effects of CLA supplementation on body weight, fat mass or free fat mass. Basal energy expenditure expressed as kg free fat mass increased significantly in the CLA group (123.3 (SEM 2.5) kJ/kg free fat mass per d on day 98 v. 118.7 (SEM 2.3) kJ/kg free fat mass per d on day 0, P = 0.03). PPAR gamma mRNA gene expression increased significantly with CLA supplementation (53 (SEM 20) %, P  0.01) and a significant reduction in mRNA levels of HSL was observed (- 42 (SEM 7) %, P = 0.01). The levels of UCP-2 and LPL mRNA were not affected. The present results suggest that a 98 d supplementation diet with a 50 : 50 mixture of the two CLA isomers cis-9, trans-11 and trans-10, cis-12 in a dairy product was unable to alter body composition, although a significant increase in the RMR has been induced. Moreover, changes in mRNA PPAR gamma and HSL in adipose tissue were recorded."
"","","","","Curcuma longa","ATGL; HSL","ethyl acetate fraction","3T3-L1","20 microg/mL","increased mRNA levels of hormone-sensitive lipase (HSL) by 34.8% and adipose TG lipase (ATGL) by 16.9% at 20 microg/mL","20412020; 39032671","The effects of the turmeric ethyl acetate fraction (TEF) from the methanolic extract from Curcuma longa L. on lipid metabolism and underlying mechanisms of lipolysis were investigated in 3T3-L1 adipocytes. The intracellular lipid droplets were stained with Oil red O dye and quantified. Compared to the control, lipid accumulation was significantly decreased by 46.6% with treatment by TEF at the concentration of 20 microg/mL. The intracellular triglyceride (TG) level was also reduced by 37.9% at the concentration of 20 microg/mL. To determine the mechanism for TG content reduction, levels of glucose uptake and glycerol release were measured. Incubation of the 3T3-L1 adipocytes with TEF for 4 hours significantly lowered the cellular level of glucose in a dose-dependent manner. Furthermore, cellular expression of insulin-responsive glucose transporter (GLUT)-4 was decreased by 46%, indicating that reduced glucose uptake was due to a decrease in cellular GLUT-4 expression. In addition, the level of free glycerol released into the cultured medium was increased by 36.4% with the treatment by TEF. In subsequent measurements using quantitative real-time polymerase chain reaction, mRNA levels of hormone-sensitive lipase (HSL) and adipose TG lipase (ATGL) were elevated by 34.8% and 16.9%, respectively, at the concentration of 20 microg/mL. These results suggest that TEF partially inhibits lipogenesis by the suppression of glucose uptake via the decreased expression of cellular GLUT-4 and stimulates lipolysis through the induction of HSL and/or ATGL gene expression, resulting in the increased glycerol release."
"","","","","EGCG","HSL","","3T3-L1 adipocytes","10 μM","increased HSL gene expression","19107849; 19390166; 19932867; 27867269; 38705537; 40347183","The aim of the present study was to evaluate the effects of green tea (-)-epigallocatechin-3-gallate (EGCG) on the depletion of accumulated fat in differentiated 3T3-L1 adipocytes. Intracellular lipid accumulation was decreased significantly after 24 h of incubation with 10 microm EGCG, while the viability of adipocytes was reported to be unaffected. Under the same experimental conditions, the amount of glycerol released from cells into the medium was increased by 10 microm EGCG. The level of mRNA in the 3T3-L1 adipocytes was analysed by quantitative real-time RT-PCR. EGCG notably increased the mRNA level of hormone sensitive lipase (HSL), which catalyses the rate-limiting stage in hydrolysis of stored triacylglycerol to monoacylglycerol and free fatty acids. In conclusion, the experiment produced results which showed that green tea EGCG effectively depleted fat accumulation via the stimulation of lipolysis and increased HSL gene expression in 3T3-L1 adipocytes. These results may relate to the mechanism by which EGCG modulates lipolysis in adipocytes."
"","","","","Epigallocatechin gallate","HSL; PPARα","","C3H10 T1/2","","moderate inhibition of lipid formation (indirect effect on HSL/PPARα-related pathways)","21569430","Adipocyte volume (fat accumulation) and cell number (adipogenesis) is increased in obese individuals. Our objective was the identification of dietary constituents with inhibitory effects on triglyceride formation during adipogenesis. Therefore an in vitro adipose cell assay in murine C3H10 T1/2 cells was developed, which enabled rapid quantification of intracellular fat droplet accumulation during adipocyte differentiation. Results were corroborated by expression levels of several specific adipogenic and lipogenic genes which are known to regulate triglyceride accumulation. C3H10 T1/2 adipocyte differentiation was conducted with rosiglitazone in the presence of test compounds for 7 days. Accumulation of intracellular lipid droplets was measured using the Cellomics® ArrayScan® VTI HCS reader and SpotDetector® BioApplication from ThermoFisher. Fluorescent images were automatically acquired and analysed employing the fluorescent dyes BODIPY® 493/503 and Hoechst 33342, for staining neutral lipids and localisation of nuclei, respectively. The expression levels of adipogenic and lipogenic genes, such as PPARα and PPARγ, C/EBPα, aP2, adiponectin, LPL and HSL, CPT-1β, ACC1, Glut4 and FAS, were determined by quantitative RT-PCR. Dietary ingredients including PUFAs, carotenoids, polyphenols and catechins were tested for their effect on lipid accumulation. The ω-3 PUFAs docosahexaenoic acid (DHA) and eicosapentaenoic acid (EPA), the carotenoid β-carotene and hydroxytyrosol exhibited the strongest inhibitory effects on the rosiglitazone-stimulated lipid formation. (all-E)-lycopene and epigallocatechin gallate (EGCG) showed a moderate inhibition, whereas resveratrol did not reduce fat droplet formation. Additionally, it was demonstrated that adipogenic and lipogenic gene expression was attenuated. DHA, β-carotene and hydroxytyrosol inhibited the gene expression of PPARγ, C/EBPα, aP2 and CPT-1β. This in vitro assay in differentiating adipocytes enables automated detection and quantification of changes in lipid droplet number, size and intensity. The observed inhibitory effects of identified dietary constituents such as ω-3 PUFAs and β-carotene correlate with the modulation of genes involved in adipocyte differentiation."
"","","","","Ganoderma lucidum","AMPK; HSL","","HPA-v, 3T3-L1","","stimulated AMPK phosphorylation, promoting ACC1 phosphorylation; upregulated and activated HSL at mRNA and protein levels","33389855","Ganoderma lucidum polysaccharides (GLP) are one of the major bioactive components with many beneficial properties. In the present study we aimed to systematically evaluate the effects of GLP on lipid metabolism in human (HPA-v) and murine adipocytes (3T3-L1). Cell viability was assessed by MTT assay. Lipid accumulation in mature adipocytes were evaluated by ORO staining and quantified using the triglyceride (TG) assay. Lipolysis was investigated by measuring the free glycerol released in the cell culture medium after treatments. The mRNA and protein levels of key genes regulating lipid metabolism were determined by qRT-PCR and western blotting in HPA-v cells. ORO staining showed that GLP suppressed lipid accumulation similarly in both HPA-v and 3T3-L1 cells. TG assay confirmed that GLP significantly inhibited cell differentiation (p  0.001). The lipolysis assay showed that GLP enhanced triglyceride hydrolysis in both adipocytes (p  0.05). GLP stimulated AMPK phosphorylation, which promoted the phosphorylation of ACC1, its downstream target. qRT-PCR and western blotting showed that the genes encoding transcription factors for adipocyte differentiation (PPARγ, C/EBPα, and SREBPlc) and certain adipogenic genes (ACC1, PLIN1, and FASN) were downregulated (p  0.05). The lipolytic gene HSL was upregulated and highly phosphorylated (activated) at mRNA and protein levels, respectively, upon GLP treatment. These results suggested that GLP possessed beneficial antiadipogenic effects and can potentially be developed into antiobesity products."
"","","","","Ginger","SIRT1; HSL; UCP1","","Kunming (KM) mice, brown fat cells","170 mg/kg","increased expression of UCP1, PGC1α, and SIRT1 in brown fat cells; elevated levels of HSL in epididymal white adipose tissue (eWAT)","31586693; 18670185; 31316571","We reported that ginger prevented obesity in mice fed a high-fat diet in previous study. In this experiment, we examined the effects of zingerone, the major pungent component of ginger on fat storage in ovariectomized (Ovx) rats. Oral administration of 170 mg/kg zingerone significantly reduced body weight and the final parametrail adipose tissue weight in ovariectomized rats. Blood glucose levels after oral administration of glucose were lower in zingerone-treated Ovx-rats than in the Ovx-rats (control). Basal lipolysis in zingerone-treated Ovx-rats was increased compared with that in the Ovx-rats. Zingerone significantly increased norepinephrine-induced lipolysis associated with the translocation of hormone-sensitive lipase (HSL) from the cytosol to lipid droplets in adipocytes. These results indicate that zingerone may prevent the fat storage through increasing norepinephrine-induced lipolysis in adipocytes."
"","","","","Ginkgo biloba","AMPK; HSL","","3T3-L1","","up-regulated expression of HSL and stimulated phosphorylation of AMPK","31569605","Bilobalide, the only sesquiterpene compound from Ginkgo biloba leaf, exhibits various beneficial pharmaceutical activities, such as antioxidant, anti-inflammation, and protective effects for the central nervous system. Several bioactive components extracted from Ginkgo biloba extract reportedly have the potential to attenuate lipid metabolism. However, the effect of bilobalide on lipid metabolism remains unclear. In this study, we used 3T3-L1 cells as the cell model to investigate the effect of bilobalide on adipogenesis. The results showed that bilobalide inhibited 3T3-L1 preadipocyte differentiation and intracellular lipid accumulation. Quantitative real-time PCR and western blotting results indicated that several specific adipogenic transcription factors and a few important adipogenesis-related genes were significantly down regulated on both mRNA and protein levels in bilobalide treatment groups. By contrast, the expression of some lipolytic genes, such as adipose triglyceride lipase, hormone-sensitive lipase (HSL), and carnitine palmitoyltransferase-1α, were all up-regulated by bilobalide treatment, and the phosphorylation of AMP-activated protein kinase (AMPK), acetyl-CoA carboxylase 1, and HSL were stimulated. Furthermore, bilobalide treatment partially restored AMPK activity following its blockade by compound C (dorsomorphin). These results suggested that bilobalide inhibited adipogenesis and promoted lipolysis in 3T3-L1 cells by activating the AMPK signaling pathway."
"","","","","Inulin","ATGL","","mice","","increased ATGL on liver lipid droplets","36596155","Increased consumption of high-fat low-fiber foods has been shown to contribute to the development of metabolic syndromes, such as fatty liver, obesity, diabetes, et al. Fermentable dietary fiber, such as inulin, is broadly used to mitigate host metabolic abnormalities. In this work, we studied systematically the effect of inulin on mice with metabolic disorders, induced by either short- or long-term high-fat feeding. As expected, inulin reduced the body weight of mice in both groups. However, it was found that inulin feeding could only increase energy expenditure, alleviate adiposity, and improve glucose intolerance in mice fed with high-fat diet (HFD) for 1 month but not for 4 months. Surprisingly, inulin supplementation could alleviate HFD-induced hepatic steatosis, mediated through increasing adipose triglyceride lipase (ATGL) on liver lipid droplets, in both groups. Gut microbiota in the short- and long-term fat-loaded mice were shown to be modulated differently, which may mediate the differential effects of inulin. These results may help in understanding the role and mechanism of fermentable fiber regulating host metabolism."
"Liver Health / Fibrosis","Hepatic energy sensing","AMPK–ACC lipid metabolism pathway","AMPK ↑ · ACC ↓ · Malonyl-CoA ↓","Agastache rugosa","AMPK; STAT3; CYP2E1","","Male Kunming mice, Human Chang liver cells","","inhibited CYP2E1 expression, inhibited STAT3 phosphorylation, and activated AMPK phosphorylation","30974967; 39721450","Thymoquinone (TQ) is a main aromatic component of Nigella sativa L. seeds or Agastache rugosa (Fisch.  C.A.Mey.) Kuntze. The protective mechanism of TQ against acute liver injury induced by acetaminophen (APAP), however, remains unclear. We aimed to investigated the hepato-protective mechanism of TQ on the development of APAP-induced acute liver injury. Male kunming mice were pretreated with TQ or N-acetylcysteine (NAC) before a single APAP injection. Human Chang liver cells were incubated with TQ, SP600125 or AICAR in presence of APAP for 24 h. TQ pretreatment reduced levels of serum aminotransferases and increased hepatic glutathione and glutathione peroxidase activities via inhibiting CYP2E1 expression. TQ inhibited JNK, ERK and P38 phosphorylation induced by APAP. Meanwhile, TQ inhibited PI3K/mTOR signaling activation and activated AMPK phosphorylation. Moreover, TQ prevented APAP-induced hepatocytes apoptosis regulated by Bcl-2 and Bax. Furthermore, TQ inhibited STAT3 phosphorylation on APAP-induced acute liver injury. In addition, TQ significantly inhibited P2X7R protein expression and IL-1 β release. APAP-enhanced JNK phosphorylation and APAP-suppressed AMPK phosphorylation were also observed in Chang liver cells, and these changes were recovered by pretreatment with TQ, SP600125 and AICAR. Our findings suggest that TQ may actively prevent APAP-induced acute liver injury, and the effect may be mediated by JNK and AMPK signaling pathways."
"","","","","American ginseng","AMPK; SOD; GSH","","rat","","the activity of SOD, GSH-PX, and AMPK were measured but no specific quantitative effect of American ginseng on these targets was reported","35202711","Ginseng has been used for thousands of years, it is described as both a tonic for restoration of strength and a panacea. However, the adverse effect is also reported clinically. In the theory of Traditional Chinese Medicine, the occurrence of adverse reactions is closely related to warm property of ginseng, which can easily lead to fireness (, in Chinese). Several presumptions indicated that fireness of ginseng may be associated with the pathophysiology of inflammation, imbalance of metabolism, the disorder of hypothalamus-pituitary-adrenal axis, and hypothalamus-pituitary-thyroid axis. The tonifying effect of ginseng medicines was always focused on with little attention for their adverse effects. We selected red ginseng (RG), ginseng (GS), American ginseng (AG), and ginseng leaves (GL) as typical ginseng medicines to clarify correlations of adverse effect and tonifying effect of ginseng medicines. The RG, GS, AG, and GL decoctions were orally administered to rats for 30 days consecutively. The appearance indicators such as saliva secretion, urinary output, fecal moisture, heart rate were determined, and hair condition, nose color were also observed. Furthermore, some biochemical indexes such as IL-6, T3, T4, TSH, ACTH, CORT, Ach, DA, EPI, NE, SP, VIP, cAMP, cGMP, AQP-5, AMPK, and the activity of SOD, GSH-PX, Na[+]-K[+]-ATPase were measured by biochemical reagent kits or enzyme-linked immunosorbent assay (ELISA). The metabolites profile was analyzed by UPLC-QTOF-MS. Finally, the diversity of gut microbiota was also analyzed with the 16S rDNA sequencing. The study revealed the tonifying effects of ginseng medicines mainly on exciting nervous system, promoting immunity and antioxidative ability. While, the adverse effects were mainly associated with the abnormal nervous system, thyroid system, adrenal system, and oxidative stress. The GS group showed fireness symptoms, such as vertical and dirty hair, epistaxis, higher rectal temperature, lower salivary secretion, lower urinary output, lower fecal moisture. While the GL group showed the opposite symptoms. The levels of hormones, activities of the antioxidative enzyme, and Na[+]-K[+]-ATP enzyme were changed differently. From the second week to the fourth week, the levels of T3, T4, TSH, ACTH, CORT, and the activity of SOD, GSH-PX, Na[+]-K[+]-ATP enzymes were first increased, then decreased, and finally recovered to normal levels. We also found that the ginseng medicines mainly adjust the amino acid and TCA cycle metabolism exhibiting their tonifying and adverse effects. Meanwhile, GS and AG can modulate gut microbiota imbalance by increasing the gut microbial diversity as well as selectively promoting some probiotic populations, including Lactobacillus and Bifidobacterium. This is the first time to report the correlations between tonifying effects and adverse effects of four ginseng medicines. The present study demonstrated that the adverse effects of ginseng medicines mostly depended on their dosages, the higher dosage is, the more serious the adverse effects are. The adverse effects of ginseng and ginseng leaves are much more serious than red ginseng and American ginseng. The tendency of water regulation of ginseng and ginseng leaves was opposite may be related to their nature property."
"","","","","Angelica","AMPK","","3T3-L1","5 μM","activated AMPK through phosphorylation","23681764","Adipocytes differentiation is deeply involved in the onset of obesity. 4-Hydroxyderricin (4HD) and xanthoangelol (XAG) are the chalcones that are derived from Ashitaba (Angelica keiskei). In this study, we demonstrated the inhibitory effects of these chalcones on adipocytes differentiation. 4HD and XAG suppressed intracellular lipid accumulation by Oil red O staining at 5 μM without cytotoxicity. They inhibited adipocytes differentiation accompanied by down-expression of adipocyte-specific transcription factors, CCAAT/enhancer-binding protein-β (C/EBP-β), C/EBP-α, and peroxisome proliferator-activated receptor gamma (PPAR-γ) using RT-PCR and Western blotting analysis. To obtain insights into the underlying mechanism, the activation of AMP-activated protein kinase (AMPK) and mitogen-activated protein kinase pathways was investigated. These two chalcones promoted phosphorylation of AMPK and acetyl CoA carboxylase during differentiation of 3T3-L1 adipocytes accompanied by a decrease in glycerol-3-phosphate acyl transferase-1 and an increase in carnitine palmitoyltransferase-1 mRNA expression. These chalcones also promoted phosphorylation of extracellular signal-regulated kinases and Jun aminoterminal kinases, but not p38. Moreover, the inhibitors for AMPK and extracellular signal-regulated kinases abolished the chalcones-caused down-expression of C/EBP-β, C/EBP-α, and PPAR-γ. Treatment with Jun aminoterminal kinases inhibitor abolished the down-expression of C/EBP-α and PPAR-γ, but not C/EBP-β. 4HD and XAG inhibit adipocytes differentiation through AMPK and mitogen-activated protein kinase pathways, resulting in the down-expression of adipocyte-specific transcription factors."
