source_id,abstract,included_plant_compound,matched_name,no,included_target,extract_type,cell_lines,parameter,effect_on_target,pathway_name,core_biology,categories
12860272,"Cinnamaldehyde is an active compound isolated from the stem bark of Cinnamomum cassia, a traditional oriental medicinal herb, which has been shown to inhibit tumor cell proliferation. In this study, we investigated the effects of cinnamaldehyde on the cytotoxicity, induction of apoptosis and the putative pathways of its actions in human promyelocytic leukemia cells. Using apoptosis analysis, measurement of reactive oxygen species (ROS), and assessment of mitochondrial membrane potentials (DeltaPsim), we show that cinnamaldehyde is a potent inducer of apoptosis and that it transduces the apoptotic signal via ROS generation, thereby inducing mitochondrial permeability transition (MPT) and cytochrome c release to the cytosol. ROS production, mitochondrial alteration, and subsequent apoptotic cell death in cinnamaldehyde-treated cells were blocked by the antioxidant N-acetylcystein. Taken together, our data indicate that cinnamaldehyde induces the ROS-mediated mitochondrial permeability transition and resultant cytochrome c release. This is the first report on the mechanism of the anticancer effect of cinnamaldehyde.",Cinnamon bark,Cinnamomum cassia,24,ROS,,human promyelocytic leukemia cells,,induces ROS generation,Mitochondrial redox recovery pathway; CISD2 mitochondrial integrity pathway; Glutathione redox defense pathway,Redox reset; Mitochondrial stability; Oxidative stress,Longevity & Cellular Resilience; Liver Health / Fibrosis
12860317,"The present study reports the antioxidant activity of Seabuckthorn (Hippophae rhamnoides), family Elaegnaceae, on chromium induced oxidative stress in male albino rats. Oxidative stress was induced in the rats by force-feeding of potassium dichromate equivalent to a dose of 30mg/kg body weight (BW) of chromium(VI) for 30 days. Administration of chromium decreased the body weight and increased organ to body weight ratio significantly. Chromium treatment significantly decreased reduced glutathione (GSH), and increased malondialdehyde (MDA) and creatine phosphokinase (CPK) levels; further it also enhanced glutamate oxaloacetate transferase (GOT) and glutamate pyruvate transferase (GPT) levels in the serum. Different doses of the alcoholic leaf extract of Seabuckthorn were evaluated for the protection against the chromium induced oxidative stress. The results show that the leaf extract at a concentration of 100 and 250mg/kg BW protected the animals from the chromium induced oxidative injury significantly.",Sea buckthorn,Hippophae rhamnoides,28,GSH,alcoholic leaf extract,male albino rats,100 and 250 mg/kg BW,,Glutathione redox defense pathway,Oxidative stress,Liver Health / Fibrosis
13678266,"The plant extracts of some commonly used spices were examined for their possible regulatory effect on nitric oxide (NO) levels using sodium nitroprusside as a NO donor in vitro. Most of the extracts tested demonstrated direct scavenging of NO and exhibited significant activity and the potency of scavenging activity was in the following order: Foeniculum vulgare (aqueous)  Citrus limettiodes  Murraya koenigii (seed, aqueous)  Murraya koenigii (leaf, aqueous)  Curcuma aromatica (aqueous)  Murraya koenigii (leaf, dichloromethane:methanol)  Mentha arvensis (chloroform)  Mentha arvensis (aqueous)  Curcuma longa  Gingko biloba  Foeniculum vulgare (dichloromethane:methanol)  Zingiber officinale (aqueous)  Curcuma aromatica (ethanolic)  Murraya koenigii (seed, dichloromethane:methanol). All the evaluated extracts exhibited a dose-dependent NO scavenging activity. The aqueous extract of Foeniculum vulgare showed a greatest NO scavenging effect of 79.75% at 62.5 microg/mL as compared to the positive control, Gingko biloba where 36.22% scavenging was observed at similar concentration. The present results suggest that these spices might be potent and novel therapeutic agents for scavenging of NO and the regulation of pathological conditions caused by excessive generation of NO and its oxidation product, peroxynitrite.",Ginger,Zingiber officinale,43,NO,aqueous,,,scavenged NO,eNOS–NO bioavailability pathway,Nitric oxide production,Cardiovascular & Vascular Aging
14624024,"The role of amyloid beta-peptide (Abeta) in the free-radical oxidative-stress model of neurotoxicity in Alzheimer's disease (AD) has received much attention recently. In this study, we have employed both in vitro and in vivo models displaying endogenous Abeta production to study the effects of Abeta on intracellular free radical levels. We employed a neuroblastoma cell line stably expressing an AD-associated double mutation, which exhibits both increased secretion and intracellular accumulation of Abeta when stimulated, as well as transgenic Caenorhabditis elegans constitutively expressing human Abeta. A rise in levels of hydrogen peroxide (H2O2) was observed in both in vitro and in vivo AD-associated transgenic models expressing the Abeta peptide compared with the wild type controls. Treatment of the cells or C. elegans with Ginkgo biloba extract EGb 761 significantly attenuated the basal as well as the induced levels of H2O2-related reactive oxygen species (ROS). Among individual EGb 761 components tested, kaempferol and quercetin provided maximum attenuation in both models. Furthermore, an age-dependent increase in H2O2-related ROS was observed in wild type C. elegans, which is accelerated in the AD-associated C. elegans mutant. These results support the hypothesis of the involvement of Abeta and ROS in association with AD.",Ginkgo nut,Ginkgo biloba,17,ROS,Ginkgo biloba extract,"neuroblastoma cell line, C. elegans",,attenuated the basal and induced levels of H2O2-related reactive oxygen species (ROS),Mitochondrial redox recovery pathway; CISD2 mitochondrial integrity pathway; Glutathione redox defense pathway,Redox reset; Mitochondrial stability; Oxidative stress,Longevity & Cellular Resilience; Liver Health / Fibrosis
14663584,"The first analysis of chloride fluxes and compartmentation in a non-excised plant system is presented, examining ten ecologically pertinent conditions. The short-lived radiotracer couple (38)Cl/(39)Cl was used as a Cl(-) tracer in intact barley (Hordeum vulgare L. cv. Klondike) seedlings, which were cultured and investigated under four external [Cl(-)], from abundant (0.1 mM) to potentially toxic (100 mM). Chloride-nitrogen interactions were investigated by varying N source (NO(3)(-) or NH(4)(+)) and strength (0.1 or 10 mM), in order to examine, at the subcellular compartmentation level, the antagonism, previously documented at the influx level, between Cl(-) and NO(3)(-), and the potential role of Cl(-) as a counterion for NH(4)(+) under conditions in which cytosolic [NH(4)(+)] is excessive. Cytosolic [Cl(-)] increased with external [Cl(-)] from 6 mM to 360 mM. Cl(-) influx, fluxes to vacuole and shoot, and, in particular, efflux to the external medium, also increased along this gradient. Efflux reached 90% of influx at the highest external [Cl(-)]. Half-times of cytosolic Cl(-) exchange decreased between high-affinity and low-affinity influx conditions. The relationship between cytosolic [Cl(-)] and shoot flux indicated the presence of a saturable low-affinity transport system (""SLATS"") responsible for xylem loading of Cl(-). N source strongly influenced Cl(-) flux to the vacuole, and moderately influenced Cl(-) influx and shoot flux, whereas efflux and half-time were insensitive to N source. Cytosolic pool sizes were not strongly or consistently influenced by N source, indicating the low potential for Cl(-) to act as a counterion to hyperaccumulating NH(4)(+). We discuss our results in relation to salinity responses in cereals.",Malted barley,Hordeum vulgare,35,NO,,intact barley (Hordeum vulgare L. cv. Klondike) seedlings,,,eNOS–NO bioavailability pathway,Nitric oxide production,Cardiovascular & Vascular Aging
14734207,"The widespread use of mobile phones (MP) in recent years has raised the research activities in many countries to determine the consequences of exposure to the low-intensity electromagnetic radiation (EMR) of mobile phones. Since several experimental studies suggest a role of reactive oxygen species (ROS) in EMR-induced oxidative damage in tissues, in this study, we investigated the effect of Ginkgo biloba (Gb) on MP-induced oxidative damage in brain tissue of rats. Rats (EMR+) were exposed to 900 MHz EMR from MP for 7 days (1 h/day). In the EMR+Gb groups, rats were exposed to EMR and pretreated with Gb. Control and Gb-administrated groups were produced by turning off the mobile phone while the animals were in the same exposure conditions. Subsequently, oxidative stress markers and pathological changes in brain tissue were examined for each groups. Oxidative damage was evident by the: (i) increase in malondialdehyde (MDA) and nitric oxide (NO) levels in brain tissue, (ii) decrease in brain superoxide dismutase (SOD) and glutathione peroxidase (GSH-Px) activities and (iii) increase in brain xanthine oxidase (XO) and adenosine deaminase (ADA) activities. These alterations were prevented by Gb treatment. Furthermore, Gb prevented the MP-induced cellular injury in brain tissue histopathologically. Reactive oxygen species may play a role in the mechanism that has been proposed to explain the biological side effects of MP, and Gb prevents the MP-induced oxidative stress to preserve antioxidant enzymes activity in brain tissue.",Ginkgo nut,Ginkgo biloba,17,SOD; ROS; NO; GSH,,rat,,"increased SOD activity by preventing its decrease, inhibited NO increase by preventing MP-induced elevation",Glutathione redox defense pathway; Mitochondrial redox recovery pathway; CISD2 mitochondrial integrity pathway; Glutathione redox defense pathway; NRF2 antioxidant response pathway; Mitochondrial redox recovery pathway; eNOS–NO bioavailability pathway,Nitric oxide production; Oxidative stress; Redox defense; Redox reset; Redox reset; Mitochondrial stability; Oxidative stress,Cardiovascular & Vascular Aging; Liver Health / Fibrosis; Longevity & Cellular Resilience; Longevity & Cellular Resilience; Liver Health / Fibrosis
14740214,"Transgenic alfalfa (Medicago sativa L.) root cultures expressing sense and antisense barley (Hordeum vulgare L.) hemoglobin were examined for their ability to metabolize NO. Extracts from lines overexpressing hemoglobin had approximately twice the NO conversion rate of either control or antisense lines under normoxic conditions. Only the control line showed a significant increase in the rate of NO degradation when placed under anaerobic conditions. The decline in NO was dependent on the presence of reduced pyridine nucleotide, with the NADH-dependent rate being about 2.5 times faster than the NADPH-dependent rate. Most of the activity was found in the cytosolic fraction of the extracts, while only small amounts were found in the cell wall, mitochondria, and 105,000- g membrane fraction. The NADH-dependent NO conversion exhibited a broad pH optimum in the range 7-8 and a strong affinity to NADH and NADPH (K(m) 3 microM for both). It was sensitive to diphenylene iodonium, an inhibitor of flavoproteins. The activity was strongly reduced by applying antibodies raised against recombinant barley hemoglobin. Extracts of Escherichia coli overexpressing barley hemoglobin showed a 4-fold higher rate of NO metabolism as compared to non-transformed cells. The NADH/NAD and NADPH/NADP ratios were higher in lines underexpressing hemoglobin, indicating that the presence of hemoglobin has an effect on these ratios. They were increased under hypoxia and antimycin A treatment. Alfalfa root extracts exhibited methemoglobin reductase activity, using either cytochrome c or recombinant barley hemoglobin as substrates. There was a correspondence between NO degradation and nitrate formation. The activity was eluted from a Superose 12 column as a single peak with molecular weight of 35+/-4 kDa, which corresponds to the size of the hemoglobin dimer. The results are consistent with an NO dioxygenase-like activity, with hemoglobin acting in concert with a flavoprotein, to metabolize NO to nitrate utilizing NADH as the electron donor.",Malted barley,Hordeum vulgare,35,NO,,"alfalfa root cultures, Escherichia coli",,"inhibited NO metabolism in alfalfa root cultures under normoxic conditions (twice the NO conversion rate compared to control or antisense lines), showed NADH-dependent NO conversion with a pH optimum of 7-8 and K(m) 3 microM for NADH and NADPH, and exhibited sensitivity to diphenylene iodonium",eNOS–NO bioavailability pathway,Nitric oxide production,Cardiovascular & Vascular Aging
14742874,"Nitric oxide (NO) is an important signaling molecule in animals and plants. In mammals, NO is produced from Arg by the enzyme NO synthase. In plants, NO synthesis from Arg using an NO synthase-type enzyme and from nitrite using nitrate reductase has been demonstrated previously. The data presented in this report strongly support the hypothesis that plant tissues also synthesize NO via the nonenzymatic reduction of apoplastic nitrite. As measured by mass spectrometry or an NO-reactive fluorescent probe, Hordeum vulgare (barley) aleurone layers produce NO rapidly when nitrite is added to the medium in which they are incubated. NO production requires an acid apoplast and is accompanied by a loss of nitrite from the medium. Phenolic compounds in the medium can increase the rate of NO production. The possible significance of apoplastic NO production for germinating grain and for plant roots is discussed.",Malted barley,Hordeum vulgare,35,NO,,,,produces NO rapidly when nitrite is added to the medium,eNOS–NO bioavailability pathway,Nitric oxide production,Cardiovascular & Vascular Aging
14992325,"HP-1 a herbal formulation comprising of Phyllanthus niruri and extracts of Terminalia belerica, Terminalia chebula, Phyllanthus emblica and Tinospora cordifolia has been evaluated for hepatoprotective activity against carbon tetrachloride (CCl4) induced toxicity. Results show that HP-1 reversed the leakage of lactate dehydrogenase (LDH) and glutamate pyruvate transaminase (GPT) and prevented the depletion of glutathione (GSH) levels in a primary monolayer culture of rat hepatocytes (in vitro). HP-1 attenuated the serum toxicity as manifested in elevated levels of transaminases (glutamate oxaloacetate transaminase (GOT), and GPT) The antioxidative enzymes in liver (catalase and superoxide dismutase (SOD)) were restored to normal values after the oral administration of HP-1. HP-1 suppressed the formation of the superoxide anion radical and reduced CCl4 mediated lipid peroxidation (LPO). Silymarin and antioxidants (ascorbic acid, beta-carotene and alpha-tocopherol) were used for comparison. The present study showed that HP-1 is a potential hepatoprotective formulation with an additional attribute of being anti-peroxidative.",Amla,Phyllanthus emblica,25,SOD; GSH,,rat hepatocytes,,restored SOD to normal levels and prevented depletion of GSH,Glutathione redox defense pathway; NRF2 antioxidant response pathway; Mitochondrial redox recovery pathway,Oxidative stress; Redox defense; Redox reset,Liver Health / Fibrosis; Longevity & Cellular Resilience
15030397,"Abstract Alzheimer's disease is widely held to be associated with oxidative stress due, in part, to the membrane action of beta-amyloid peptide aggregates. Here, we studied the effect of cannabidiol, a major non-psychoactive component of the marijuana plant (Cannabis sativa) on beta-amyloid peptide-induced toxicity in cultured rat pheocromocytoma PC12 cells. Following exposure of cells to beta-amyloid peptide (1 micro g/mL), a marked reduction in cell survival was observed. This effect was associated with increased reactive oxygen species (ROS) production and lipid peroxidation, as well as caspase 3 (a key enzyme in the apoptosis cell-signalling cascade) appearance, DNA fragmentation and increased intracellular calcium. Treatment of the cells with cannabidiol (10(-7)-10(-4)m) prior to beta-amyloid peptide exposure significantly elevated cell survival while it decreased ROS production, lipid peroxidation, caspase 3 levels, DNA fragmentation and intracellular calcium. Our results indicate that cannabidiol exerts a combination of neuroprotective, anti-oxidative and anti-apoptotic effects against beta-amyloid peptide toxicity, and that inhibition of caspase 3 appearance from its inactive precursor, pro-caspase 3, by cannabidiol is involved in the signalling pathway for this neuroprotection.",Hemp seed,Cannabis sativa,12,ROS,,PC12,10(-7)-10(-4) M,decreased ROS production,Mitochondrial redox recovery pathway; CISD2 mitochondrial integrity pathway; Glutathione redox defense pathway,Redox reset; Mitochondrial stability; Oxidative stress,Longevity & Cellular Resilience; Liver Health / Fibrosis
15082233,"We evaluated whether combined treatment with selegiline, a selective MAO-B inhibitor, and EGb 761, a standard extract of Ginkgo biloba, has synergistic effects against ischemic reperfusion injury (IRI) in gerbils. Interestingly, we observed that pretreatment with EGb 761 significantly attenuated selegiline-induced hyperactivity. This finding paralleled striatal fos-related antigen immunoreactivity (FRA-IR) in mice. Four minutes of bilateral carotid artery occlusion caused substantial cell loss in the CA1 of the hippocampus 5 days post-ischemic insult. Pretreatment with EGb 761, with or without selegiline, significantly attenuated this neuronal loss. Combined treatment with EGb 761 plus selegiline was more efficacious in preventing this loss. Synaptosomal formations of protein carbonyl, lipid peroxidation (malondialdehyde (MDA) + 4-hydroxyalkenal (4-HDA)), and reactive oxygen species (ROS) in the hippocampus remained elevated 5 days post-ischemic insult. The antioxidant effects appeared to be most significant in the group treated with EGb 761 plus selegiline. This combined treatment produced more significant attenuation of IRI-induced alterations in intramitochondrial calcium accumulation, the mitochondrial transmembrane potential, and mitochondrial Mn-superoxide dismutase-like immunoreactivity (Mn-SOD-IR) than either treatment alone. Our results suggest that co-administration of EGb 761 and selegiline produces significant neuroprotective effects via suppression of oxidative stress and mitochondrial dysfunction without affecting neurological function.",Ginkgo nut,Ginkgo biloba,17,SOD; ROS,standard extract,"gerbils, mice",,attenuated IRI-induced alterations in mitochondrial Mn-superoxide dismutase-like immunoreactivity (Mn-SOD-IR) and reactive oxygen species (ROS) levels,Mitochondrial redox recovery pathway; CISD2 mitochondrial integrity pathway; Glutathione redox defense pathway; NRF2 antioxidant response pathway; Mitochondrial redox recovery pathway,Redox defense; Redox reset; Redox reset; Mitochondrial stability; Oxidative stress,Longevity & Cellular Resilience; Longevity & Cellular Resilience; Liver Health / Fibrosis
15132774,"Isoliquiritigenin (ILTG), a flavonoid group compound, exists in some foodstuffs and herbal medicines such as licorice (Glycyrrhiza uralensis Fisher). Previously, we showed that ILTG can suppress azoxymethane (AOM)-induced colon carcinogenesis in ddY mice. In the present report, we present evidence that ILTG markedly decreases both prostaglandin E2 (PGE2) and nitric oxide (NO) production in RAW264.7 mouse macrophage cells. The decrease of PGE2 was dependent on cyclooxygenase-2 (COX-2) expression and the decrease of NO appeared due to a decrease in inducible nitric oxide synthase (iNOS) protein expression. In mouse and human colon carcinoma cells, ILTG treatment suppressed cell growth and caused apoptosis. Furthermore, in vivo administration of ILTG inhibited the induction of preneoplastic aberrant crypt foci (ACF) in the male F344 rat colon. Our results suggest that ILTG is a promising chemopreventive agent against colon carcinogenesis.",Licorice root,Glycyrrhiza uralensis,15,NO,,"RAW264.7, male F344 rat",,decreased nitric oxide (NO) production,eNOS–NO bioavailability pathway,Nitric oxide production,Cardiovascular & Vascular Aging
15138017,"In this study, the vasodilatory actions of nine edible tropical plant extracts were investigated. Ipomoea batatas (sweet potato leaf), Piper betle (betel leaf), Anacardium occidentale (cashew leaf), Gynandropsis gynandra (maman leaf), Carica papaya (papaya leaf), and Mentha arvensis (mint leaf) extracts exhibited more than 50% relaxing effect on aortic ring preparations, while Piper betle and Cymbopogon citratus (lemongrass stalk) showed comparable vasorelaxation on isolated perfused mesenteric artery preparation. The vascular effect on the aortic ring preparations were mainly endothelium-dependent, and mediated by nitric oxide (NO) as supported by the inhibition of action in the presence of N(omega)-nitro-L-arginine (NOLA), an nitric oxide synthase (NOS) inhibitor, or by the removal of endothelium. In contrast, vasodilatory actions in resistance vessels (perfused mesenteric vascular beds) appear to involve several biochemical mediators, including NO, prostanoids, and endothelium-dependent hyperpolarizing factors (EDHFs). Total phenolic contents and antioxidant capacities varied among different extracts and found to be independent of vascular relaxation effects. This study demonstrates that many edible plants common in Asian diets to possess potential health benefits, affording protection at the vascular endothelium level.",Lemongrass,Lemongrass,411,NO,stalk extract,"aortic ring preparations, isolated perfused mesenteric artery preparation",,vasorelaxation mediated by nitric oxide (NO),eNOS–NO bioavailability pathway,Nitric oxide production,Cardiovascular & Vascular Aging
15147983,"The Ginkgo biloba extract EGb761 was tested for its ability to inhibit the major human cytochrome P450 enzymes (CYPs). The full extract was found to strongly inhibit CYP2C9 (Ki = 14+/- 4 microg/mL), and to a lesser extent, CYP1A2 (Ki = 106 +/- 24 microg/mL), CYP2E1 (Ki = 127 +/- 42 microg/mL), and CYP3A4 (Ki = 155 +/- 43 microg/mL). The terpenoidic and flavonoidic fractions of the extract were tested separately against the same P450s to identify the source of inhibition by EGb761. The terpenoidic fraction inhibited only CYP2C9 (Ki = 15 +/-6 microg/mL) whereas the flavonoidic fraction of EGb761 showed high inhibition of CYP2C9, CYP1A2, CYP2E1, and CYP3A4 (Ki's between 4.9 and 55 microg/mL). The flavonoidic fraction was further fractionated using extraction and chromatography. Inhibition studies indicated that the majority of these fractions inhibited P450s at a significant level (IC50  40 microg/mL).",Ginkgo nut,Ginkgo biloba,17,CYP2E1,Ginkgo biloba extract EGb761,,"Ki = 127 +/- 42 microg/mL (full extract), Ki between 4.9 and 55 microg/mL (flavonoidic fraction)",inhibited CYP2E1,CYP2E1 ethanol bioactivation pathway,Alcohol metabolism toxicity,Liver Health / Fibrosis
15148252,"1 The leaf extract of Ginkgo Biloba L. exhibits a variety of pharmacological effects through an antioxidant action. We examined the effects of the leaf extract (Ginkgolon-24) on the production of fibronectin induced by oxidized low-density lipoprotein (oxLDL) in rat mesangial cells. 2 Stimulation with oxLDL accelerated the production of fibronectin with the preceding generation of reactive oxygen species (ROS). Pretreatment with Ginkgolon-24 inhibited the oxLDL-induced fibronectin production as well as ROS generation. 3 oxLDL also elicited the activation of SP-1, nuclear factor-kappaB, and cAMP response element-binding protein, which are transcription factors involved in the fibronectin production. Among these activated transcription factors, Ginkgolon-24 inhibited the activation of SP-1 only. 4 Furthermore, 7-ketocholesterol, an oxidized lipid in oxLDL particles, induced the production of fibronectin and the activation of SP-1, which were also suppressed by Ginkgolon-24. 5 These results suggest that the leaf extract of Ginkgo Biloba L. inhibits the oxLDL-induced production of fibronectin probably through inhibitory effects on ROS generation and SP-1 activation in rat mesangial cells.",Ginkgo nut,Ginkgo biloba,17,ROS,leaf extract,rat mesangial cells,,inhibited ROS generation,Mitochondrial redox recovery pathway; CISD2 mitochondrial integrity pathway; Glutathione redox defense pathway,Redox reset; Mitochondrial stability; Oxidative stress,Longevity & Cellular Resilience; Liver Health / Fibrosis
15154282,"It has been shown that Ginkgo biloba Extract (EGb 761) increases peripheral and cerebral blood flow and microcirculation and improves myocardial ischemia reperfusion injury. This study was designed to investigate the effect of EGb 761 on hepatic endothelial cells and hepatic microcirculation. Sixty male Wister rats were divided into normal, carbon tetrachloride (CCl4) and EGb groups, and were given normal saline, CCl4 and CCl4 plus EGb 761, respectively, for 10 weeks. Samples were taken from the medial lobe of the rat livers ten weeks later. Hepatic sinusoidal endothelial cells and other parameters of hepatic microcirculation were observed under transmission electron microscopy (TEM). The amount of malondialdehyde (MDA), endothelin (ET-1), platelet-activating factor (PAF) and nitric oxide (NO) in liver tissue was determined by spectrophotometry and radioimmunoassay, respectively. Compared with the CCl4 group, aggregation of blood cell or micro thrombosis in hepatic sinusoids, deposition of collagen in hepatic sinusoids and space of Disse, injury of endothelial cells and capillization of hepatic sinusoid was significantly reduced in the EGb group. The amount of MDA, ET-1 and PAF was markedly reduced in the EGb group than in the CCl4 group, while no significant difference in the amount of NO was observed between the two groups. The results demonstrate that EGb 761 has protective effect on hepatic endothelial cells and hepatic microcirculation in rats with chronic liver injury induced by CCl4. The mechanisms may involve its inhibition on ET-1, PAF and lipid peroxidation.",Ginkgo nut,Ginkgo biloba,17,NO,Ginkgo biloba Extract,Wister rats,,no significant difference in the amount of NO was observed between the EGb group and the CCl4 group,eNOS–NO bioavailability pathway,Nitric oxide production,Cardiovascular & Vascular Aging
15325565,"Ginkgo biloba extract (GBE) contains many different flavone glycosides and terpenoides. Several previous studies have demonstrated that GBE exhibits a wide variety of biological activities, including an antioxidant action, on which we focused our attention. The aim of the present study was to investigate the efficacy of GBE on endotoxin induced uveitis in rats. The anti-inflammatory potency of GBE in vivo was compared with that of prednisolone. In addition, we also investigated nitric oxide (NO), prostaglandin E2 (PGE2), tumor necrosis factor-alpha (TNF-alpha) and the expression of iNOS in a mouse macrophage cell line (RAW 264.7) treated with GBE in vitro to clarify the anti-inflammatory effect. EIU was induced in male Lewis rats by a footpad injection of lipopolysaccharide (LPS). Immediately after the LPS inoculation, either 1, 10 or 100 microg of GBE were injected intravenously. 24hr later, the aqueous humor was collected from both eyes, and the number of infiltrating cells, protein concentration and NO level in the aqueous humor was determined. The RAW 264.7 cells were pretreated with various concentrations of GBE for 24hr and subsequently incubated with LPS for 24hr. Levels of NO, PGE2 and TNF-alpha were determined by enzyme-linked immunosorbent assay. The expression of iNOS protein was analyzed by Western blotting method. GBE treatment in vivo decreased the concentrations of protein and NO in the aqueous humor of EIU rats. The anti-inflammatory effect of 1 mg GBE was as strong as that of same dose prednisolone. It also significantly reduced the concentration of PGE2, TNF-alpha and NO production in the medium of RAW 264.7 cells compared to that of the LPS group in vitro. The expression of iNOS protein in the 1000 microg ml(-1) of GBE treated cells decreased significantly. The present results indicate GBE suppresses the inflammation of EIU by blocking the iNOS protein expression and its anti-inflammatory effect on eye is comparable with the effect of prednisolone used in similar doses.",Ginkgo nut,Ginkgo biloba,17,NO,Ginkgo biloba extract,"RAW 264.7, rats","1, 10, or 100 microg (in vivo), 1000 microg/ml (in vitro)",significantly reduced NO production in RAW 264.7 cells and decreased NO concentrations in EIU rats by suppressing iNOS expression,eNOS–NO bioavailability pathway,Nitric oxide production,Cardiovascular & Vascular Aging
15351109,"Oral administration (200 mg/kg) of Foeniculum vulgare fruit methanolic extract exhibited inhibitory effects against acute and subacute inflammatory diseases and type IV allergic reactions and showed a central analgesic effect. Moreover, it significantly increased the plasma superoxide dismutase (SOD) and catalase activities and the high density lipoprotein-cholesterol level. On the contrary, the malondialdehyde (MDA) (as a measure of lipid peroxidation) level was significantly decreased in F. vulgare fruit methanolic extract group compared to the control group (P0.05). These results seems to support the use of F. vulgare fruit methanolic extract in relieving inflammation.",Fennel seed,Foeniculum vulgare,4,SOD,methanolic,,200 mg/kg,increased plasma superoxide dismutase (SOD) activity,NRF2 antioxidant response pathway; Mitochondrial redox recovery pathway,Redox defense; Redox reset,Longevity & Cellular Resilience
15452401,"This study examined the ability of tropical vegetables to reduce oxidative stress induced by vitamin A deficiency. Vitamin A-deficient male Wistar rats were divided into four groups which were treated for 30 days with different diets: AIN-93G vitamin A-deficient diet (DD), DD supplemented with pure beta-carotene (beta-D) and DD supplemented with malanga (Xanthosoma sagittifolium) (MD) or purslane (Portulaca oleracea) (PD) leaves as the only source of vitamin A. The thiobarbituric acid-reactive substances (TBARS), reduced (GSH) and oxidized (GSSG) glutathione, and antioxidant enzyme activities were determined in the heart and liver. The rats fed beta-D, MDand PD showed liver and heart TBARS concentrations lower than did DD rats. The liver GSH concentration of beta-D, MD and PD rats was lower compared to DD rats. The heart GSSG concentration of the vegetable groups was significantly lower than in DD rats. Liver and heart catalase activities were not significantly different among the groups, nor was heart glutathione peroxidase (GPX) activity, however the beta-D rats showed the highest liver GPX activity. There was no difference in liver glutathione-S-transferase level among the groups, while heart activity was higher in rats fed the vegetable leaves. This study evidences that the ingestion of purslane or malanga leaves may have a protective effect against oxidative stress caused by vitamin A deficiency.",Purslane,Portulaca oleracea,8,GSH,leaf,rat,,reduced liver GSH concentration,Glutathione redox defense pathway,Oxidative stress,Liver Health / Fibrosis
15475834,"The effect of Ginkgo biloba extract (EGb 761) was studied in rat hearts submitted to ischemia/reperfusion. Isolated hearts perfused in Langendorff mode were subjected to 60 minutes of global ischemia and 15 minutes of reperfusion. EGb 761 was administered by chronic or acute treatment: intra-peritoneal injections of 5 mg/Kg extract for 5 days, or 100 mg /L extract addition to the perfusion buffer, respectively. In hearts not treated with EGb 761, ischemia induced a 20% decrease in the concentration of membrane alpha-tocopherol. This effect was not worsened by reperfusion. alpha-tocopherol consumption was accompanied by about 650% increase in 6-ketoPGF1alpha release within 3 minutes of reperfusion. Moreover, ischemia induced activation of transcription factor NF-kappaB, as compared with the untreated group. In both chronic and acute treatment with EGb 761, heart concentration of alpha-tocopherol was completely spared during ischemia as much as after reperfusion, and a significant decrease of 6-ketoPGF1alpha release was observed at 3 minutes of reperfusion. Nuclear translocation of NF-kappaB was lowered during ischemia. EGb 761 might act as direct free radical scavenger or as tocopheryl radical recycler; in both cases sparing membrane vitamin E should affect phospholipase A2 activity. Finally, EGb 761, by lowering ROS produced during ischemia, challenges nuclear translocation of NF-kappaB.",Ginkgo nut,Ginkgo biloba,17,ROS,Ginkgo biloba extract,rat hearts,"5 mg/Kg (chronic treatment), 100 mg/L (acute treatment)",lowered ROS produced during ischemia,Mitochondrial redox recovery pathway; CISD2 mitochondrial integrity pathway; Glutathione redox defense pathway,Redox reset; Mitochondrial stability; Oxidative stress,Longevity & Cellular Resilience; Liver Health / Fibrosis
15486777,"To determine the antioxidant role of Ginkgo biloba (GB) in preventing radiation-induced cataracts in the lens after total-cranium irradiation of rats with a single radiation dose of 5 Gy. Sprague-Dawley rats were randomly divided into three groups. Group 1 received neither GB nor irradiation (control group). Group 2 was exposed to total-cranium irradiation of 5 Gy in a single dose [radiation therapy (RT) Group], and group 3 received total cranium irradiation from a cobalt-60 teletherapy unit, plus 40 mg/kg per day GB (RT+GB group). At the end of the tenth day, the rats were killed and their eyes were enucleated to measure the antioxidant enzymes, the activities of superoxide dismutase (SOD) and glutathione peroxidase (GSH-Px), and the lipid peroxidation level [malondialdehyde (MDA)]. Irradiation significantly increased both the MDA level and the activity of GSH-Px, and significantly decreased the activity of SOD in the rat lenses. GB supplementation significantly increased the activities of SOD and GSH-Px enzymes and significantly decreased the MDA level. Total cranium irradiation of 5 Gy in a single dose promoted cataract formation, and GB supplementation protected the lenses from radiation-induced cataracts. We suggest that Ginkgo biloba is an antioxidant that protects the rat lens from radiation-induced cataracts.",Ginkgo nut,Ginkgo biloba,17,SOD; GSH,,rat,40 mg/kg/day,increased SOD activity and GSH-Px activity,Glutathione redox defense pathway; NRF2 antioxidant response pathway; Mitochondrial redox recovery pathway,Oxidative stress; Redox defense; Redox reset,Liver Health / Fibrosis; Longevity & Cellular Resilience
