source_id,abstract,included_plant_compound,matched_name,no,included_target
10535759,"Excessive production of nitric oxide (NO) may have cytotoxic effects through the formation of peroxynitrite with superoxide. The extract of Ginkgo biloba leaves (EGb) has been demonstrated to be a potent scavenger of free radicals. Although EGb has been shown recently to inhibit NO production in macrophages, its effect on NO production in endothelial cells is largely unknown. The objective of this study was to elucidate the mechanism by which EGb affects NO production in a human endothelial cell line (ECV304). After cells were incubated with EGb (10-100 microg/mL) for 2 or 4 hr, the amounts of NO metabolites released by the cells were quantitated, and cellular NOS activities were determined following the conversion of [3H]arginine to [3H]citrulline. NOS protein expression was determined by western immunoblotting analysis. mRNA levels were examined by reverse transcription-polymerase chain reaction (RT-PCR) analysis. EGb (50 microg/mL) caused a 30% reduction of NO metabolites released by endothelial cells. Following EGb treatment, cellular inducible NO synthase (iNOS) activity was reduced by 28% with a concomitant reduction in the levels of iNOS protein mass and mRNA. There was no change in the activity or protein mass of constitutive NO synthase in these cells. EGb inhibited NO production by attenuating the level of iNOS mRNA in ECV304 cells. Selective inhibition of iNOS by EGb may be therapeutically relevant in modulating NO production in endothelial cells.",Ginkgo nut,Ginkgo biloba,17,NO
10547088,"This study was conducted to evaluate the effect of Ginkgo biloba extract (EGb 761) on the nitric oxide (NO) production in relation to the recovery of postischemic cardiac function in isolated working rat hearts. Rats were orally treated with various doses (25, 50, 75, and 100 mg/kg/day) of EGb 761 for 10 days. Hearts were isolated in ""working mode"" and subjected to 30-min ischemia followed by 120 min of reperfusion. EGb 761 inhibited NO production measured by electron spin-resonance spectroscopy (ESR), and improved the recovery of postischemic cardiac function (coronary flow, aortic flow, left ventricular developed pressure and its first derivative) in the ischemic/reperfused myocardium. Thus in rats treated with 25, 50, 75, and 100 mg/kg/day of EGb 761 and in hearts subjected to 30-min ischemia followed by 120 min of reperfusion, aortic flow was increased from its postischemic drug-free control value of 8.0+/-0.4 to 8.6+/-0.4 ml/min (NS), 17.3+/-0.9 ml/min (p0.05), 21.5+/-1.1 ml/min (p0.05), and 23.6+/-1.2 ml/min, respectively. The same recovery in postischemic coronary flow, left ventricular developed pressure, and its first derivative also was observed. In the initial phase of reperfusion, NO production measured by ESR was reduced by 85% in the 75 mg/ kg/day of EGb 761-treated group in comparison with the drug-free ischemic/reperfused hearts. Inducible NO synthase (iNOS) messenger RNA (mRNA) measured by reverse transcription-polymerase chain reaction (RT-PCR) also was reduced by 41 and 58% in the groups treated with 75 and 100 mg/kg/day of EGb 761, respectively. Our findings show that EGb 761 directly acts as an NO scavenger and concomitantly inhibits the expression of iNOS mRNA. Thus, EGb 761 may act as a potent inhibitor of NO production under the condition of ischemia/reperfusion, improving the recovery of postischemic cardiac function.",Ginkgo nut,Ginkgo biloba,17,NO
10552591,"The coding region of the copper/zinc superoxide dismutase (Cu/Zn SOD) cDNA from papaya fruit, Carica papaya L. cv. Tainong 2, was cloned into an expression vector, pET-20b(+). The Cu/Zn SOD was expressed in Escherichia coli and purified by His-tag technique. Two active forms of the enzyme (30% dimer and 70% monomer) in equilibrium were observed. The activity of the dimeric enzyme was higher than that of the monomeric form. The thermal inactivation rate constant K(d) values calculated for the dimer and monomer at 90 degrees C were -0.0203 and -0.0216 min(-1), and the half-lives for inactivation were 41.9 and 31.8 min, respectively. This indicated that the dimeric enzyme was more stable than its monomeric form. The dimerization of the enzyme was inhibited under acidic pH (below 3.0) or imidazole buffer (above 0.5 M), whereas it was not affected under alkaline pH (above 9.0). Both activity and forms of the enzyme were not affected by 1-4% SDS. Furthermore, the dimeric enzyme was much more resistant to proteolytic attack after 3 h of incubation at 37 degrees C with trypsin or chymotrypsin. In addition, mutation of the papaya Cu/Zn SOD at position 48 from Leu to Phe (L48F) affected the association of monomer, whereas a mutant with Lys substitution (L48K) at the same position tended to dissociate into monomeric form.",Papaya,Carica papaya,11,SOD
10554243,"A full-length complementary DNA (cDNA) clone encoding a putative copper/zinc superoxide dismutase (Cu/Zn SOD) of papaya fruit, Carica papaya L. cv. Tainong 2, was amplified according to the polymerase chain reaction technique from cDNA synthesized from fruit messenger RNA. Nucleotide sequence analysis of this cDNA clone revealed that it comprised a complete open reading frame coding for 152 amino acid residues. The deduced amino acid sequence showed higher identity (81.6-84.9%) with the sequences of the cytosolic Cu/Zn SODs than those of the chloroplast from other plant species, and no recognizable plastid targeting peptide was found. These suggest that the papaya fruit cDNA clone encodes a cytosolic Cu/Zn SOD. The residues required for coordinating copper (His-45, -47, -62, and -119) and zinc (His-62, -70, and -79 and Asp-82), as well as the two cysteines (56 and 145) that form a single disulfide bond, are conserved as they are among all reported Cu/Zn SOD sequences. In addition, the coding region of Cu/Zn SOD cDNA from papaya was introduced into an expression vetor, pET-20b(+), and transformed into Escherichia coli AD494(DE3)pLysS. A predominant protein band was detected by Coomassie blue staining of native PAGE, and activity staining confirmed the result of Coomassie blue staining. These indicate that this Cu/Zn SOD cDNA clone can overexpress active Cu/Zn SOD enzyme in E. coli.",Papaya,Carica papaya,11,SOD
10575089,"""beta Amyloid (Abeta)-induced free radical-mediated neurotoxicity"" is a leading hypothesis as a cause of Alzheimer's disease (AD). Abeta increased free radical production and lipid peroxidation in PC12 nerve cells, leading to increased 4-hydroxy-2-nonenal (HNE) production and modification of specific mitochondrial target proteins, apoptosis and cell death. Pretreatment of the cells with isolated ginkgolides, the anti-oxidant component of Ginkgo biloba leaves, or vitamin E, prevented the Abeta-induced increase of reactive oxygen species (ROS). Ginkgolides, but not vitamin E, inhibited the Abeta-induced HNE modification of mitochondrial proteins. However, treatment with these anti-oxidants did not rescue the cells from Abeta-induced apoptosis and cell death. These results indicate that free radicals and lipid peroxidation may not mediate Abeta-induced neurotoxicity.",Ginkgo nut,Ginkgo biloba,17,ROS
10631257,"Hordeins, the natural substrates of barley (Hordeum vulgare) cysteine endoproteases (EPs), were isolated as protein bodies and degraded by purified EP-B from green barley malt. Cleavage specificity was determined by synthesizing internally quenched, fluorogenic tetrapeptide substrates of the general formula 2-aminobenzoyl-P(2)-P(1)-P(1)'-P(2)' 1-tyrosine(NO(2))-aspartate. The barley EPs preferred neutral amino acids with large aliphatic and nonpolar (leucine, valine, isoleucine, and methionine) or aromatic (phenylalanine, tyrosine, and tryptophan) side chains at P(2), and showed less specificity at P(1), although asparagine, aspartate, valine, and isoleucine were particularly unfavorable. Peptides with proline at P(1) or P(1)' were extremely poor substrates. Cleavage sites with EP-A and EP-B preferred substrate sequences are found in hordeins, their natural substrates. The substrate specificity of EP-B with synthetic peptides was used successfully to predict the cleavage sites in the C-terminal extension of barley beta-amylase. When all of the primary cleavage sites in C hordein, which occur mainly in the N- and C-terminal domains, were removed by site-directed mutagenesis, the resulting protein was degraded 112 times more slowly than wild-type C hordein. We suggest that removal of the C hordein terminal domains is necessary for unfolding of the beta-reverse turn helix of the central repeat domain, which then becomes more susceptible to proteolytic attack by EP-B.",Malted barley,Barley malt,35,NO
10631268,"To explore possible pathways for anions to enter the xylem in the root during the transport of salts to the shoot, we used the patch-clamp method on protoplasts prepared from the xylem parenchyma of barley (Hordeum vulgare L.) plants. K(+) currents were suppressed by tetraethylammonium or N-methylglucamine in the solutions in the pipette and the bath, and the permeating anions were Cl(-) or NO(3)(-). We recorded the activities of three distinct anion conductances: (a) an inwardly rectifying anion channel (X-IRAC), characterized by activation at hyperpolarization and open times of up to several seconds; (b) a quickly activating anion conductance (X-QUAC), important for anion efflux at voltages between -50 mV and the equilibrium potential of the prevailing anion; and (c) a slowly activating anion conductance (X-SLAC), activating above -100 mV. Both X-IRAC and X-QUAC were permeable for Cl(-) and NO(3)(-); X-QUAC was also permeable for malate. The occurrence of X-IRAC became more frequent with an increase in cytoplasmic Ca(2+), while the occurrence of X-QUAC decreased. Anion currents through X-SLAC, and particularly through X-QUAC, were estimated to be large enough to account for reported rates of xylem loading, which is in accordance with the notion that xylem loading is a passive process.",Malted barley,Hordeum vulgare,35,NO
10647922,"The effect of several natural and synthetic compounds on selenite-induced cataract was investigated in rat pups. Simultaneous determination of glutathione S-transferase (GST), selenium dependent glutathione peroxidase (Se-GPx), catalase (CAT), superoxide dismutase (SOD) activities and malondialdehyde (MDA) levels were carried out in the lens, erythrocyte and plasma. The results showed that propolis, diclofenac, vitamin C (Vit-C) and quercetin prevented cataract formation to the extent of 70, 60, 58.4, and 40%, respectively. Standardized extract of Ginkgo biloba (Egb 761) did not affect the cataract formation. Selenite treatment caused a significant decrease in the activity of erythrocyte SOD. This was accompanied by a simultaneous increase in the levels of MDA either in lens and in plasma. A significant increase was shown in erythrocyte GST (substrate ethacrynic acid; eaa), and GPx activities and lens GST (substrate chlorodinitro benzene; cdnb) activity. Antioxidant treatment caused significant changes in enzyme activities and MDA levels. There was no effect of selenite and antioxidants on total body weight increase during the course of the study. Blood parameters did not correlate to lens parameters following selenite treatment. Our results suggest that antioxidant supplementation following selenite exposure may prevent the cataract formation and may enhance antioxidant defence of blood and lens.",Ginkgo nut,Ginkgo biloba,17,SOD
10678500,"Free radicals are involved in numerous skin diseases, especially inflammatory reactions and photosenescence. To identify possible free-radical scavenging by an original terpene-free Ginkgo biloba extract containing 33% Ginkgo flavone glycosides, mostly quercetin and kaempferol derivatives, we studied its activity by means of in-vitro and in-vivo experiments, using superoxide dismutase (SOD) as a positive control. By means of an in-vitro electron-spin resonance (ESR) assay we compared the activity of the Ginkgo extract with that of its two aglycones, quercetin and kaempferol. Quercetin and Ginkgo extract had significant antioxidant properties without pro-oxidant effect. In contrast, kaempferol, above an optimum antioxidant concentration, behaved as a pro-oxidant. The in-vivo experiments were conducted on an anti-inflammatory model. The cutaneous blood flux which reflects the skin inflammatory level was recorded by means of a laser Doppler perfusion imager. The data confirmed the free-radical-scavenging property of both Ginkgo extract and SOD. The Ginkgo extract significantly inhibited (37%) cutaneous blood flux to the same extent as SOD. These data confirmed the antioxidant property of Ginkgo extract. A complementary spin-trapping technique would enable identification of the free radicals involved. This Ginkgo extract should be useful for protection of the skin against free radicals.",Ginkgo nut,Ginkgo biloba,17,SOD
10712542,"Two full-length cDNAs, HvNRT2.3 and HvNRT2.4, were isolated from roots of barley (Hordeum vulgare), using reverse transcriptase-PCR and RACE-PCR. The corresponding polypeptides, consisting of 507 amino acids (molecular masses of 54.6 kD), belong to the major facilitator superfamily (MFS), and are closely related (87% identity) to those encoded by HvNRT2.1 and HvNRT2.2 (formerly BCH1 and BCH2, respectively) from roots of barley. The latter are considered to encode inducible high-affinity NO(3)(-) transporters (Trueman et al., 1996). HvNRT2 transcripts were undetectable in NO(3)(-)-deprived plants. Following exposure to either NO(3)(-) or NO(2)(-), transcript abundance and (13)NO(3)(-) influx increased to a maximum by 6 to 12 h, then declined in HvNRT2.1, HvNRT2.2, and HvNRT2.3. The pattern of HvNRT2.4 transcript abundance was different, remaining high after achieving peak abundance. When external NO(3)(-) concentrations were varied from 0 to 500 microM under steady-state conditions of NO(3)(-) supply, HvNRT2 transcript accumulation and (13)NO(3)(-) influx were highest in 50 microM NO(3)(-) -grown plants. When NH(4)(+) was provided together with NO(3)(-), transcript accumulation during the first 2 h was similar to that due to NO(3)(-) alone, but by 4 h the transcript level was significantly reduced. HvNRT2 transcript was undetectable in leaf tissues.",Malted barley,Hordeum vulgare,35,NO
10771207,"Pretreatment with the butanol extract of the water fraction of Phyllanthus emblica fruits at the dose of 100 mg/kg body-weight, orally administered to rats for 10 consecutive days, was found to enhance secretion of gastric mucus and hexosamine (P0.001) in the indomethacin induced ulceration of rats. The morphological observations also supported a protective effect of the stomach wall from lesion. The indomethacin treatment of the premedicated animals with the drug hardly affected either the malondialdehyde (MDA) or superoxide dismutase (SOD) level in gastric tissue while the ulcerative agent itself significantly enhanced both the levels. An antioxidant property appears to be predominantly responsible for this cytoprotective action of the drug.",Amla,Phyllanthus emblica,25,SOD
10806247,"To investigate the regulation of HvNRT2, genes that encode high-affinity NO(3)(-) transporters in barley (Hordeum vulgare) roots, seedlings were treated with 10 mM NO(3)(-) in the presence or absence of amino acids (aspartate, asparagine, glutamate [Glu], and glutamine [Gln]), NH(4)(+), and/or inhibitors of N assimilation. Although all amino acids decreased high-affinity (13)NO(3)(-) influx and HvNRT2 transcript abundance, there was substantial interconversion of administered amino acids, making it impossible to determine which amino acid(s) were responsible for the observed effects. To clarify the role of individual amino acids, plants were separately treated with tungstate, methionine sulfoximine, or azaserine (inhibitors of nitrate reductase, Gln synthetase, and Glu synthase, respectively). Tungstate increased the HvNRT2 transcript by 20% to 30% and decreased NO(3)(-) influx by 50%, indicating that NO(3)(-) itself does not regulate transcript abundance, but may exert post-transcriptional effects. Experiments with methionine sulfoximine suggested that NH(4)(+) may down-regulate HvNRT2 gene expression and high-affinity NO(3)(-) influx by effects operating at the transcriptional and post-transcriptional levels. Azaserine decreased HvNRT2 transcript levels and NO(3)(-) influx by 97% and 95%, respectively, while decreasing Glu and increasing Gln levels. This suggests that Gln (and not Glu) is responsible for down-regulating HvNRT2 expression, although it does not preclude a contributory effect of other amino acids.",Malted barley,Hordeum vulgare,35,NO
10820186,"An excess of the free radical nitric oxide (NO) is viewed as a deleterious factor involved in various CNS disorders. Numerous studies have shown that the Ginkgo biloba extract EGb 761 is a NO scavenger with neuroprotective properties. However, the mechanisms underlying its neuroprotective ability remain to be fully established. Thus, we investigated the effect of different constituents of EGb 761, i.e., flavonoids and terpenoids, against toxicity induced by NO generators on cells of the hippocampus, a brain area particularly susceptible to neurodegenerative damage. Exposure of rat primary mixed hippocampal cell cultures to either sodium nitroprusside (SNP; 100 microM) or 3-morpholinosydnonimine resulted in both a decrease in cell survival and an increase in free radical accumulation. These SNP-induced events were blocked by either EGb 761 (10-100 microg/ml) or its flavonoid fraction CP 205 (25 microg/ml), as well as by inhibitors of protein kinase C (PKC; chelerythrine) and L-type calcium channels (nitrendipine). In contrast, the terpenoid constituents of EGb 761, known as bilobalide and ginkgolide B, as well as inhibitors of phospholipases A [3-[(4-octadecyl)benzoyl]acrylic acid (OBAA)] and C (U-73122), failed to display any significant effects. Moreover, EGb 761 (50 microm) CP 205 (25 microg/ml), and chelerythrine were also able to rescue hippocampal cells preexposed to SNP (up to 1 mM). Finally, EGb 761 (100 microg/ml) was shown to block the activation of PKC induced by SNP (100 microM). These data suggest that the protective and rescuing abilities of EGb 761 are not only attributable to the antioxidant properties of its flavonoid constituents but also via their ability to inhibit NO-stimulated PKC activity.",Ginkgo nut,Ginkgo biloba,17,NO
10864024,"We analyzed the nucleotide sequences of the non-coding region of chloroplast DNA: the intergenic spacer between trnL (UAA) 3'exon and trnF (GAA). Two kinds of sequence, ""type-1"" and ""type-2,"" were detected in 33 populations of Cannabis sativa. The length of the ""type-1"" fragment was 354 bp. In contrast, the ""type-2"" fragment from 3 populations was 353 bp long, with only one base deletion compared to ""type-1."" The fragment length from Humulus lupulus was 353 bp with a 1-bp deletion, and ten 1-bp substitutions compared to the sequences from C. sativa ""type-1."" Furthermore, we could clearly identify differences between C. sativa and H. lupulus using single-strand conformation polymorphism of PCR products (PCR-SSCP) analysis.",Hemp seed,Cannabis sativa,12,GAA
10889252,"Suspension-cultured cells of azuki bean (Vigna angularis) as well as the original root tissues were hypersensitive to Cd (10 microM). Repeated subculturings with a sublethal level of Cd (1-10 microM) did not affect the subsequent response of cells to inhibitory levels of Cd (10-100 microM). The azuki bean cells challenged to Cd did not contain phytochelatin (PC) peptides, unlike tomato (Lycopersicon esculentum) cells that have a substantial tolerance to Cd (100 microM). Both of the cell suspensions contained a similar level of reduced glutathione (GSH) when grown in the absence of Cd. Externally applied GSH to azuki bean cells recovered neither Cd tolerance nor PC synthesis of the cells. Furthermore, enzyme assays in vitro revealed that the protein extracts of azuki bean cells had no activity converting GSH to PCs, unlike tomato. These results suggest that azuki bean cells are lacking in the PC synthase activity per se, hence being Cd hypersensitive. We concluded that the PC synthase has an important role in Cd tolerance of suspension-cultured cells.",Adzuki bean,Vigna angularis,32,GSH
11113162,"The effects of the plant growth regulator ethylene, and of ethylene inhibitors, on barley (Hordeum vulgare L.) germination and seedling growth were investigated. Exogenous 1-aminocyclopropane-1-carboxylic acid (ACC) at 100 microM enhanced ethylene production by barley seedlings and stimulated shoot growth, whereas both germination and seedling growth were inhibited by antagonists of ethylene perception (75 microM silver ions, 100 microM 2,5-norbornadiene (NBD)). In contrast, germination was unaffected by, and root and shoot growth of seedlings was strongly stimulated by inhibitors of ethylene biosynthesis (10 microM cobalt chloride, 10 microM aminoethoxyvinylglycine (AVG)). Since the ethylene and polyamine biosynthetic pathways are linked through S:-adenosylmethionine, this prompted further explorations into the role of polyamines in germination and seedling growth. Exogenous polyamines (putrescine, spermidine and spermine) at 1 microM concentration stimulated barley seedling growth in a similar fashion to the ethylene biosynthetic inhibitors. Both polyamines and ethylene biosynthetic inhibitors reversed the inhibitory effects of ethylene perception inhibitors on germination and seedling growth. Blocking endogenous ethylene production with aminoethoxyvinylglycine enhanced the free putrescine and spermidine content of germinating barley grains. Thus endogenous polyamines may play a complementary, growth-promotive, role to ethylene in the normal course of barley germination. Further, experiments that have been carried out using inhibitors of ethylene biosynthesis may have to be re-evaluated to take the possible effect of polyamines into account.",Malted barley,Hordeum vulgare,35,ACC
11164593,"This study was conducted to determine whether the inhibition of nitrate reductase activity (NRA; EC 1.6.6.1) in barley (Hordeum vulgare L. var. CM-72) roots by the amino acids (glutamic, aspartic, glutamine and asparagine) is a direct effect or indirect due to inhibition of the NO(3)(-) uptake system. Roots of 8-day-old intact seedlings were supplied with the amino acids (I mM) individually either with NO(3)(-) (0.1 or 10 mM) or roots were pretreated with the amino acids and then supplied with NO(3)(-) only. Nitrate uptake was determined by following NO(3)(-) depletion from the uptake solution containing 0.1 mM NO(3)(-). All the amino acids inhibited the increase in NO(3)(-) uptake similarly (50-60%) when the roots were supplied with 0.1 mM NO(3)(-). Pretreatment with glutamic and aspartic acids was more inhibitory (70-80%) than with glutamine and asparagine (30%). The amino acids partially inhibited (35%) the induction of NRA in roots supplied with 0.1 mM NO(3)(-); however, no inhibition occurred at 10 mM NO(3)(-). Likewise, pretreatment with glutamic or aspartic acid inhibited the induction of NRA at 0.1 mM NO(3)(-) but not at 10 mM NO(3)(-). In contrast, pretreatment with glutamine or asparagine had no effect on the subsequent induction of NRA, even at 0.1 mM NO(3)(-). The results suggest that, at low NO(3)(-) supply, the inhibition of induction of NRA by the amino acids is a result of the lack of substrate availability due to inhibition of the NO(3)(-) uptake system.",Malted barley,Hordeum vulgare,35,NO
11164801,"In previous studies we have already shown that the extract of Ginkgo biloba, and some of its constituents, such as ginkgolide B and bilobalide, protected cultured neurons against apoptotic and excitotoxic damage and reduced the infarct volume after focal cerebral ischemia in mice and rats. In this work, we determined the neuroprotective and antioxidative effects of 4-hydroxy-4-tert-butyl-2,3,5,6-tetrahydrothiopyran-1-oxide (NV-31), a stable compound which was synthesized to mimic the pharmacological activity profile of bilobalide. In pure neuronal cultures from chick embryo telencephalon, damage was induced by serum deprivation (24 h) and exposure to staurosporine (200 nM, 24 h) which caused an increase in the percentage of apoptotic neurons from 14 (controls) to 30 and 55%, respectively. NV-31 (1-100 nM) protected dose-dependently chick neurons against both serum deprivation- and staurosporine-induced apoptosis. Similarly, NV-31 (100 nM) reduced staurosporine (300 nM, 24 h)-induced neuronal damage in mixed cultures of neurons and astrocytes from neonatal rat hippocampus. The cellular ROS content increased 6-fold 4 h after serum deprivation as well as 4 h after the exposure to staurosporine and this increase was reduced by 50% in the presence of 10 and 100 nM NV-31, respectively. In mice, a treatment with 10 and 20 mg/kg NV-31 60 min before and immediately after focal cerebral ischemia, respectively, significantly reduced the infarct area compared with vehicle-treated animals. In the present study, we show that NV-31 promotes neuronal survival and we suggest that its antioxidative property contributes to the mechanism of neuroprotection.",Ginkgo nut,Ginkgo biloba,17,ROS
11199954,"The purpose of the study was to evaluate the effect of the classic antipsychotic haloperidol plus extract of ginkgo biloba (EGb) on treatment-resistant chronic schizophrenia and on blood superoxide dismutase (SOD) levels. Eighty-two patients with chronic refractory schizophrenia were studied. Forty-three patients were treated with haloperidol plus extract of ginkgo biloba (group 1), and 39 received haloperidol plus placebo (group 2). SOD levels of these patients were measured before and after treatment and were compared with SOD levels of 30 healthy volunteers. Therapeutic efficiency was equated with a change in clinical rating scores assessed by standardized measurement tools that included the Scale for the Assessment of Positive Symptoms and the Scale for the Assessment of Negative Symptoms (SANS) over this period. Patients in group 1 improved significantly as demonstrated by scores from these two assessment instruments; those in group 2 improved significantly only as shown by scores on SANS. SOD levels before treatment in all patients were significantly higher than those in healthy controls; after treatment, the SOD level decreased significantly in group 1 but not in group 2. These results suggest that EGb may enhance the efficiency of the classic antipsychotic haloperidol in patients with schizophrenia, especially on their positive symptoms, and that EGb may work through an antioxidant effect that is involved in the therapeutic mechanism in patients with chronic refractory schizophrenia.",Ginkgo nut,Ginkgo biloba,17,SOD
11226385,"Nitric oxide (NO) is a principal mediator in many physiological and pathological processes. NO produced by constitutive nitric oxide synthase in endothelial cells (eNOS) acts as a vasodilator, whereas excess NO production due to elevated expression of inducible nitric oxide synthase (iNOS) may produce cytotoxic effects to cells in the vascular wall. We demonstrated in our previous work that the extract of Ginkgo biloba leaves (EGb) inhibits iNOS-mediated NO production. The objective of the present study was to investigate the effects of several active EGb components on iNOS-mediated NO production in macrophages derived from a human monocytic cell line (THP-1), as well as on eNOS-mediated NO production in human umbilical vein endothelial cells (HUVEC). Ginkgolide A, ginkgolide B, or bilobalide (0.25 to 1.0 microg/mL) caused a 30-65% reduction in the levels of NO metabolites released by THP-1 macrophages after 4 hr of incubation, with a corresponding decrease in iNOS activity. Western immunoblotting analysis coupled with a nuclease protection assay and reverse transcription-polymerase chain reaction revealed a concomitant reduction in the levels of iNOS protein mass and mRNA in ginkgolide A-, ginkgolide B-, or bilobalide-treated macrophages. On the other hand, these compounds did not affect eNOS-mediated NO production or the expression of eNOS protein and mRNA in HUVEC. Taken together, these results suggest that ginkgolide A, ginkgolide B, and bilobalide may contribute to the selective inhibitory effect of EGb on iNOS expression without affecting eNOS-mediated NO production.",Ginkgo nut,Ginkgo biloba,17,eNOS; NO
11240915,"Recent evidence has indicated that activated oxygen species (AOS) may function as molecular signals in the induction of defence genes. In the present work, the response of antioxidative enzymes to the plum pox virus (PPV) was examined in two apricot (Prunus armeniaca L.) cultivars, which behaved differently against PPV infection. In the inoculated resistant cultivar (Goldrich), a decrease in catalase (CAT) as well as an increase in total superoxide dismutase (SOD) and dehydroascorbate reductase (DHAR) activities were observed. Ascorbate peroxidase (APX), glutathione reductase (GR) and monodehydroascorbate reductase (MDHAR) did not change significantly in relation to non-inoculated (control) plants. In the susceptible cultivar (Real Fino), inoculation with PPV brought about a decrease in CAT, SOD and GR, whereas a rise in APX, MDHAR and DHAR activities was found in comparison to non-inoculated (control) plants. Apricot leaves contain only CuZn-SOD isozymes, which responded differently to PPV depending on the cultivar. Goldrich leaves contained 6 SODs and both SOD 1 and SOD 2 increased in the inoculated plants. In leaves from Real Fino, 5 SODs were detected and only SOD 5 was increased in inoculated plants. The different behaviour of SODs (H2O2-generating enzymes) and APX (an H2O2-remover enzyme) in both cultivars suggests an important role for H2O2 in the response to PPV of the resistant cultivar, in which no change in APX activity was observed. This result also points to further studies in order to determine if an alternative H2O2-scavenging mechanism takes place in the resistant apricot cultivar exposed to PPV. On the other hand, the ability of the inoculated resistant cultivar to induce SOD 1 and SOD 2 as well as the important increase of DHAR seems to suggest a relationship between these activities and resistance to PPV. This is the first report about the effect of PPV infection on the antioxidative enzymes of apricot plants. It opens the way for the further studies, which are necessary for a better understanding of the role of antioxidative processes in viral infection by PPV in apricot plants.",Apricot kernel,Prunus armeniaca,27,SOD
11349824,"The hypotensive effects of the water extract of Marrubium vulgare L. and Foeniculum vulgare L. were investigated in spontaneously hypertensive rats (SHR) and in normotensive Wistar-Kyoto rats (WKY). Oral administration of Marrubium or Foeniculum extract lowered the systolic blood pressure of SHR but not of WKY. In SHR, Foeniculum but not Marrubium treatment increased water, sodium and potassium excretion. Ex vivo as well as in vitro, Marrubium extract inhibited the contractile responses of rat aorta to noradrenaline and to KCl (100 mM). Inhibition was greater in aorta from SHR compared to WKY and was not affected by the NO synthase inhibitor N-nitro-L-arginine. Vascular effects of Foeniculum extract were less pronounced than those of Marrubium and were blocked by N-nitro-L-arginine. These results indicate that hypotensive activity of Marrubium and Foeniculum extracts seems to be mediated through different pathways: Foeniculum appeared to act mainly as a diuretic and a natriuretic while Marrubium displayed vascular relaxant activity.",Fennel seed,Foeniculum vulgare,4,NO
11351079,"Gibberellins (GAs) initiate a series of events that culminate in programmed cell death, whereas abscisic acid (ABA) prevents this process. Reactive oxygen species (ROS) are key elements in aleurone programmed cell death. Incubation of barley (Hordeum vulgare) aleurone layers in H2O2 causes rapid death of all cells in GA- but not ABA-treated layers. Sensitivity to H2O2 in GA-treated aleurone cells results from a decreased ability to metabolize ROS. The amounts and activities of ROS scavenging enzymes, including catalase (CAT), ascorbate peroxidase, and superoxide dismutase are strongly down-regulated in aleurone layers treated with GA. CAT activity, protein, and Cat2 mRNA decline rapidly following exposure of aleurone layers to GA. In ABA-treated layers, on the other hand, the amount and activity of CAT and Cat2 mRNA increases. Incubation in ABA maintains high amounts of ascorbate peroxidase and superoxide dismutase, whereas GA brings about a rapid reduction in the amounts of these enzymes. These data imply that GA-treated cells loose their ability to scavenge ROS and that this loss ultimately results in oxidative damage and cell death. ABA-treated cells, on the other hand, maintain their ability to scavenge ROS and remain viable.",Malted barley,Hordeum vulgare,35,ROS
11378174,"Aluminum-induced cell death was investigated in root-tip cells of barley (Hordeum vulgare). The growth of roots in 0.1-50 mM Al treatments was inhibited after 8 h treatments, and could not be recovered after 24 h recovery culture without Al. Viable detection with fluorescein diacetate-propidium iodide (FDA-PI) staining shows that most of the root-tip cells have lost viability. These results suggest that the irreversible inhibition of root growth after 8 h Al treatments or 24 h recovery culture is mainly caused by cell death. DNA ladders occurred in root tips only after 8 h Al treatments (0.1-1.0 mM), but no apoptotic bodies in root tips were observed. Thus, the cell death caused by Al stress is likely to be Al-induced programmed cell death (PCD). The reactive oxygen species (ROS) in root-tip cells measured by ultraweak luminescence indicated that the oxidation status in root-tip cells basically ceased after exposure to 10-50 mM Al for 24 h, but was very violent in the root-tip cells treated with 0.1-1.0 mM for 24 h. Exposure to 0.1-1.0 mM Al for 3-12 h led to ROS burst. Therefore, our results suggest that 0.1-1.0 mM Al treatments for 8 h induce cell death (Al-induced PCD) possibly via a ROS-activated signal transduction pathway, whereas 10-50 mM Al treatments may cause necrosis in the root-tip cells. These results have an important role for further studies on the mechanism of Al toxicity in plants.",Malted barley,Hordeum vulgare,35,ROS
11437182,"Acute ultraviolet-B (UV-B) irradiation is known to act as an initiator in the formation of reactive oxygen species. These oxygen products are highly reactive and they are able to cause irreversible damage to cellular components. Oxygen free radicals are normally neutralized by very efficient systems in the body. These include antioxidant enzymes like superoxide dismutase (SOD). In a healthy subject, there is a balance between free radicals and the levels of antioxidants. In some pathological conditions such as oxidative stress, the level of antioxidants is significantly reduced. The skin contains relatively high levels of zinc (Zn), an essential element known to be a cofactor in some metabolic pathways. Zinc has also been reported to have antioxidant properties. In the present study, we investigated the effect of ginkgo biloba extract (Gbe), a potent free-radical scavenger, on UV-B-irradiated skin by measuring SOD activity and Zn levels in the skin, before and after treatment. The SOD activity was decreased after UV-B exposure, in comparison with the control group (p  0.05). After Gbe treatment, the SOD activity increased (p  0.05) as compared with the untreated UV-B irradiated group. The Zn levels changed in the same pattern as the SOD activity values.",Ginkgo nut,Ginkgo biloba,17,SOD
